rank,word,count,zipf
691,nächsten,68,46988
692,armee,68,47056
693,gelten,68,47124
694,bietet,68,47192
695,mensch,68,47260
696,formen,68,47328
697,sanskrit,68,47396
698,jeweiligen,67,46766
699,sommer,67,46833
700,unterscheidet,67,46900
701,unterstützung,67,46967
702,s,67,47034
703,genau,67,47101
704,sizilien,67,47168
705,stammt,66,46530
706,galt,66,46596
707,erreichte,66,46662
708,wien,66,46728
709,gewesen,66,46794
710,vergleich,66,46860
711,folgen,66,46926
712,obwohl,66,46992
713,wiederum,66,47058
714,ihres,66,47124
715,umfasst,66,47190
716,ganze,66,47256
717,zählt,66,47322
718,pflanzen,66,47388
719,nähe,65,46735
720,jedem,65,46800
721,basis,65,46865
722,kinder,65,46930
723,besondere,65,46995
724,gattung,65,47060
725,antikörper,65,47125
726,meer,65,47190
727,sehen,64,46528
728,moderne,64,46592
729,arbeitete,64,46656
730,tragen,64,46720
731,mutter,64,46784
732,verfügung,64,46848
733,zuge,64,46912
734,folgt,64,46976
735,mitglied,64,47040
736,spiel,64,47104
737,portugiesisch,64,47168
738,stärker,63,46494
739,arbeiten,63,46557
740,zog,63,46620
741,gehörte,63,46683
742,spielt,63,46746
743,enthält,63,46809
744,mehrheit,63,46872
745,ergibt,63,46935
746,programme,63,46998
747,hauptstadt,63,47061
748,brachte,62,46376
749,britischen,62,46438
750,st,62,46500
751,regionen,62,46562
752,angaben,62,46624
753,and,62,46686
754,erfolgte,62,46748
755,einmal,62,46810
756,ganzen,62,46872
757,nehmen,62,46934
758,bakterien,62,46996
759,allgemein,62,47058
760,wesentlich,62,47120
761,spd,62,47182
762,portugals,62,47244
763,allein,61,46543
764,spielte,61,46604
765,kraft,61,46665
766,fällen,61,46726
767,hinter,61,46787
768,oben,61,46848
769,kleinere,61,46909
770,fest,61,46970
771,produktion,61,47031
772,politikwissenschaft,61,47092
773,weiteres,60,46380
774,größeren,60,46440
775,damaligen,60,46500
776,unabhängig,60,46560
777,gemeinsam,60,46620
778,regeln,60,46680
779,verlauf,60,46740
